id_original,nombre,categoria,id_color,color,id_talla,talla,precio_color,precio_base,precio_oferta,stock,imagenes_color
24,Pantalón Jean Baggy,Pantalones,65,tono 4,23,32,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,65,tono 4,796,34,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,66,tono 5,24,26,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,66,tono 5,25,28,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,66,tono 5,26,30,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,66,tono 5,27,32,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,66,tono 5,797,34,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
25,Pantalón Jean Wide Leg,Pantalones,67,tono 1,28,26,95.0,95.0,,,https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,67,tono 1,29,28,95.0,95.0,,,https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,67,tono 1,30,30,95.0,95.0,,,https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,67,tono 1,31,32,95.0,95.0,,,https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,67,tono 1,722,34,95.0,95.0,,,https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,68,tono 2,32,26,95.0,95.0,,,https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,68,tono 2,33,28,95.0,95.0,,,https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,68,tono 2,34,30,95.0,95.0,,,https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,68,tono 2,35,32,95.0,95.0,,,https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,68,tono 2,790,34,95.0,95.0,,,https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,69,tono 3,36,26,95.0,95.0,,,https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,69,tono 3,37,28,95.0,95.0,,,https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,69,tono 3,38,30,95.0,95.0,,,https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,69,tono 3,39,32,95.0,95.0,,,https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,69,tono 3,791,34,95.0,95.0,,,https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,70,tono 4,40,26,95.0,95.0,,,https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,70,tono 4,41,28,95.0,95.0,,,https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,70,tono 4,42,30,95.0,95.0,,,https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,70,tono 4,43,32,95.0,95.0,,,https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,70,tono 4,792,34,95.0,95.0,,,https://euchelperu.com/images/productos/17585862265985654392372.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862428100395698434.jpg
25,Pantalón Jean Wide Leg,Pantalones,1016,tono 5,,,,95.0,,,https://euchelperu.com/images/productos/17585862428100395698434.jpg | https://euchelperu.com/images/productos/17570951578701706379324.jpg | https://euchelperu.com/images/productos/175857042038314969160685.jpg | https://euchelperu.com/images/productos/17585704728878685344188.jpg | https://euchelperu.com/images/productos/17585862265985654392372.jpg
26,Pantalón Jean Flare,Pantalones,71,tono 1,45,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg | https://euchelperu.com/images/productos/175858670516744232052852.jpg
26,Pantalón Jean Flare,Pantalones,71,tono 1,46,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg | https://euchelperu.com/images/productos/175858670516744232052852.jpg
